date,province,articles,risk_any_count,score_sum,score_avg,province_conf_avg
2026-01-21,Cà Mau,3,2,21.5,7.166666666666667,0.7632917964693666
2026-01-21,Cần Thơ,3,3,16.0,5.333333333333333,0.8627135502389464
2026-01-21,Gia Lai,4,4,31.0,7.75,0.8618761629299387
2026-01-21,Hà Nội,15,9,99.0,6.6,0.7750921094757359
2026-01-21,Hòa Bình,2,2,10.0,5.0,0.7301136363636364
2026-01-21,Hải Phòng,2,2,16.0,8.0,0.5833333333333333
2026-01-21,Kiên Giang,5,4,20.5,4.1,0.8044688644688645
2026-01-21,Lào Cai,2,2,16.5,8.25,0.736842105263158
2026-01-21,Lâm Đồng,4,4,25.5,6.375,0.6587643678160919
2026-01-21,Nghệ An,8,7,77.0,9.625,0.697156954887218
2026-01-21,Ninh Bình,1,1,7.5,7.5,0.92
2026-01-21,Phú Thọ,1,1,3.5,3.5,0.5833333333333333
2026-01-21,Quảng Nam,1,1,4.0,4.0,0.8666666666666667
2026-01-21,Quảng Ngãi,3,3,19.5,6.5,0.75
2026-01-21,Quảng Ninh,2,2,12.0,6.0,0.8863924854023864
2026-01-21,TP Hồ Chí Minh,18,13,84.0,4.666666666666667,0.8429065855347733
2026-01-21,Thanh Hóa,2,1,8.5,4.25,0.8675438596491228
2026-01-21,Thừa Thiên Huế,6,5,26.5,4.416666666666667,0.7573344236122764
2026-01-21,Tây Ninh,2,1,3.5,1.75,0.8397579560735096
2026-01-21,UNKNOWN,24,19,116.0,4.833333333333333,0.0
2026-01-21,Điện Biên,1,1,3.5,3.5,0.5833333333333333
2026-01-21,Đà Nẵng,3,3,22.5,7.5,0.6844806763285023
2026-01-21,Đồng Nai,2,1,3.5,1.75,0.8994746413416852
2026-01-22,An Giang,2,0,0.0,0.0,0.6600877192982456
2026-01-22,Bà Rịa - Vũng Tàu,1,1,4.0,4.0,0.863013698630137
2026-01-22,Cao Bằng,2,1,6.0,3.0,0.7493734335839599
2026-01-22,Hà Nội,16,15,111.5,6.96875,0.7713922033601481
2026-01-22,Hà Tĩnh,1,1,17.5,17.5,0.736842105263158
2026-01-22,Hòa Bình,1,1,2.5,2.5,0.7222222222222222
2026-01-22,Khánh Hòa,3,3,18.0,6.0,0.8465450525152018
2026-01-22,Kiên Giang,4,2,9.5,2.375,0.8450181159420291
2026-01-22,Lào Cai,3,2,13.0,4.333333333333333,0.795957284515637
2026-01-22,Lâm Đồng,6,4,26.0,4.333333333333333,0.8081408468628846
2026-01-22,Lạng Sơn,3,3,21.0,7.0,0.7418219461697723
2026-01-22,Nghệ An,8,8,63.5,7.9375,0.721999367379802
2026-01-22,Quảng Nam,3,3,23.5,7.833333333333333,0.6898597626752966
2026-01-22,Quảng Ngãi,1,1,7.0,7.0,0.8888888888888888
2026-01-22,Quảng Trị,2,1,11.0,5.5,0.8691412931919261
2026-01-22,TP Hồ Chí Minh,23,19,117.5,5.108695652173913,0.8425425383782745
2026-01-22,Thanh Hóa,3,2,23.5,7.833333333333333,0.7792838018741634
2026-01-22,Thái Nguyên,1,1,7.0,7.0,0.8850574712643678
2026-01-22,Thừa Thiên Huế,6,6,59.0,9.833333333333334,0.7354588149144776
2026-01-22,Tây Ninh,2,2,14.5,7.25,0.8479262672811061
2026-01-22,UNKNOWN,19,15,84.0,4.421052631578948,0.0
2026-01-22,Vĩnh Long,1,1,4.0,4.0,0.7826086956521738
2026-01-22,Điện Biên,2,1,3.5,1.75,0.6600877192982456
2026-01-22,Đà Nẵng,6,5,31.5,5.25,0.7684502820319619
2026-01-22,Đồng Nai,5,5,50.5,10.1,0.8500608934546111
2026-01-22,Đồng Tháp,4,3,19.0,4.75,0.6963141025641024
2026-01-23,An Giang,1,0,0.0,0.0,0.5833333333333333
2026-01-23,Bà Rịa - Vũng Tàu,2,0,0.0,0.0,0.8653846153846154
2026-01-23,Bình Dương,2,2,8.5,4.25,0.613095238095238
2026-01-23,Bình Thuận,1,1,5.5,5.5,0.8245614035087719
2026-01-23,Bắc Ninh,2,2,7.5,3.75,0.7758284600389864
2026-01-23,Cà Mau,2,1,3.5,1.75,0.736842105263158
2026-01-23,Cần Thơ,2,2,16.0,8.0,0.8350808213193535
2026-01-23,Gia Lai,8,5,31.5,3.9375,0.8321940835871766
2026-01-23,Hà Nam,1,1,3.0,3.0,0.5833333333333333
2026-01-23,Hà Nội,35,26,131.0,3.742857142857143,0.7519880256328698
2026-01-23,Hà Tĩnh,2,0,4.0,2.0,0.7807017543859649
2026-01-23,Hòa Bình,20,17,117.0,5.85,0.6842018398268396
2026-01-23,Hưng Yên,5,2,7.5,1.5,0.7346755442823928
2026-01-23,Khánh Hòa,5,4,21.0,4.2,0.800179694519317
2026-01-23,Kiên Giang,1,1,8.5,8.5,0.5833333333333333
2026-01-23,Lào Cai,2,1,7.5,3.75,0.6726190476190476
2026-01-23,Lâm Đồng,3,2,13.5,4.5,0.6874186833203226
2026-01-23,Lạng Sơn,1,1,2.5,2.5,0.8148148148148149
2026-01-23,Nghệ An,17,16,82.5,4.852941176470588,0.6805280915029673
2026-01-23,Ninh Bình,2,1,3.5,1.75,0.7797619047619047
2026-01-23,Phú Thọ,1,1,3.5,3.5,0.855072463768116
2026-01-23,Quảng Bình,1,1,4.5,4.5,0.736842105263158
2026-01-23,Quảng Nam,1,1,3.5,3.5,0.7916666666666667
2026-01-23,Quảng Ngãi,2,2,14.5,7.25,0.8799946366318048
2026-01-23,Quảng Ninh,1,1,6.5,6.5,0.8666666666666667
2026-01-23,Quảng Trị,3,2,20.5,6.833333333333333,0.7860534927782289
2026-01-23,Sơn La,2,2,20.5,10.25,0.814657611771364
2026-01-23,TP Hồ Chí Minh,41,27,195.0,4.7560975609756095,0.8240039306109214
2026-01-23,Thanh Hóa,2,2,14.5,7.25,0.7679924242424243
2026-01-23,Thừa Thiên Huế,12,12,99.5,8.291666666666666,0.7494093540622053
2026-01-23,Tuyên Quang,1,1,14.0,14.0,0.6428571428571428
2026-01-23,Tây Ninh,1,1,2.5,2.5,0.8611111111111112
2026-01-23,UNKNOWN,47,29,144.5,3.074468085106383,0.0
2026-01-23,Vĩnh Long,3,3,16.0,5.333333333333333,0.862663906142167
2026-01-23,Yên Bái,1,1,2.5,2.5,0.8666666666666667
2026-01-23,Điện Biên,4,4,44.5,11.125,0.7686076197957581
2026-01-23,Đà Nẵng,12,12,114.0,9.5,0.747720787842832
2026-01-23,Đắk Lắk,4,2,5.0,1.25,0.7801616109238614
2026-01-23,Đồng Nai,3,3,18.5,6.166666666666667,0.8216150086790543
2026-01-23,Đồng Tháp,4,3,25.0,6.25,0.7956241763008192
